
::  brazilian-cars 

Atenção! Esta aplicação é apenas uma ferramenta de apoio ao desenvolvedor e não deve ser usada no ambiente de produção!

+----------+---------+-------------------------------- ACURA -----------------------+-------+----------+----------+
| Id       | Family  | Name                                                         | Year  | Fuel     | Model Id |
| 2719953  | Hi-Topic | Hi-Topic STD Diesel                                          | 1995  | Diesel   | 27       |
| 2719943  | Hi-Topic | Hi-Topic STD Diesel                                          | 1994  | Diesel   | 27       |
| 2719933  | Hi-Topic | Hi-Topic STD Diesel                                          | 1993  | Diesel   | 27       |
| 2819973  | Hi-Topic | Hi-Topic Van 2.7 Diesel (furgão)                             | 1997  | Diesel   | 28       |
| 2819963  | Hi-Topic | Hi-Topic Van 2.7 Diesel (furgão)                             | 1996  | Diesel   | 28       |
| 2819953  | Hi-Topic | Hi-Topic Van 2.7 Diesel (furgão)                             | 1995  | Diesel   | 28       |
| 2819943  | Hi-Topic | Hi-Topic Van 2.7 Diesel (furgão)                             | 1994  | Diesel   | 28       |
| 2919953  | Jipe     | Jipe Rocsta GT 4x4 2.2 Diesel                                | 1995  | Diesel   | 29       |
| 2919943  | Jipe     | Jipe Rocsta GT 4x4 2.2 Diesel                                | 1994  | Diesel   | 29       |
| 3019993  | Topic    | Topic Carga 2.7 Diesel (furgão)                              | 1999  | Diesel   | 30       |
| 3019983  | Topic    | Topic Carga 2.7 Diesel (furgão)                              | 1998  | Diesel   | 30       |
| 3019973  | Topic    | Topic Carga 2.7 Diesel (furgão)                              | 1997  | Diesel   | 30       |
| 3119993  | Topic    | Topic Luxo Diesel                                            | 1999  | Diesel   | 31       |
| 3119983  | Topic    | Topic Luxo Diesel                                            | 1998  | Diesel   | 31       |
| 3119973  | Topic    | Topic Luxo Diesel                                            | 1997  | Diesel   | 31       |
| 3219993  | Topic    | Topic Super Luxo Diesel                                      | 1999  | Diesel   | 32       |
| 3219983  | Topic    | Topic Super Luxo Diesel                                      | 1998  | Diesel   | 32       |
| 3219973  | Topic    | Topic Super Luxo Diesel                                      | 1997  | Diesel   | 32       |
| 3219963  | Topic    | Topic Super Luxo Diesel                                      | 1996  | Diesel   | 32       |
| 3319981  | Towner   | Towner Coach Full                                            | 1998  | Gasolina | 33       |
| 3319971  | Towner   | Towner Coach Full                                            | 1997  | Gasolina | 33       |
| 3319961  | Towner   | Towner Coach Full                                            | 1996  | Gasolina | 33       |
| 3319951  | Towner   | Towner Coach Full                                            | 1995  | Gasolina | 33       |
| 3419991  | Towner   | Towner Furgão                                                | 1999  | Gasolina | 34       |
| 3419981  | Towner   | Towner Furgão                                                | 1998  | Gasolina | 34       |
| 3419971  | Towner   | Towner Furgão                                                | 1997  | Gasolina | 34       |
| 3419961  | Towner   | Towner Furgão                                                | 1996  | Gasolina | 34       |
| 3419951  | Towner   | Towner Furgão                                                | 1995  | Gasolina | 34       |
| 3419941  | Towner   | Towner Furgão                                                | 1994  | Gasolina | 34       |
| 3519981  | Towner   | Towner Glass Van                                             | 1998  | Gasolina | 35       |
| 3519971  | Towner   | Towner Glass Van                                             | 1997  | Gasolina | 35       |
| 3519961  | Towner   | Towner Glass Van                                             | 1996  | Gasolina | 35       |
| 3519951  | Towner   | Towner Glass Van                                             | 1995  | Gasolina | 35       |
| 3519941  | Towner   | Towner Glass Van                                             | 1994  | Gasolina | 35       |
| 3519931  | Towner   | Towner Glass Van                                             | 1993  | Gasolina | 35       |
| 3619991  | Towner   | Towner Luxo                                                  | 1999  | Gasolina | 36       |
| 3619981  | Towner   | Towner Luxo                                                  | 1998  | Gasolina | 36       |
| 3619971  | Towner   | Towner Luxo                                                  | 1997  | Gasolina | 36       |
| 3719991  | Towner   | Towner Multiuso 5p                                           | 1999  | Gasolina | 37       |
| 3719981  | Towner   | Towner Multiuso 5p                                           | 1998  | Gasolina | 37       |
| 3719971  | Towner   | Towner Multiuso 5p                                           | 1997  | Gasolina | 37       |
| 3819981  | Towner   | Towner Panel Van                                             | 1998  | Gasolina | 38       |
| 3819971  | Towner   | Towner Panel Van                                             | 1997  | Gasolina | 38       |
| 3819961  | Towner   | Towner Panel Van                                             | 1996  | Gasolina | 38       |
| 3819951  | Towner   | Towner Panel Van                                             | 1995  | Gasolina | 38       |
| 3819941  | Towner   | Towner Panel Van                                             | 1994  | Gasolina | 38       |
| 3919991  | Towner   | Towner Pick-Up                                               | 1999  | Gasolina | 39       |
| 3919981  | Towner   | Towner Pick-Up                                               | 1998  | Gasolina | 39       |
| 3919971  | Towner   | Towner Pick-Up                                               | 1997  | Gasolina | 39       |
| 4019981  | Towner   | Towner SDX / DLX/ STD                                        | 1998  | Gasolina | 40       |
| 4019971  | Towner   | Towner SDX / DLX/ STD                                        | 1997  | Gasolina | 40       |
| 4019961  | Towner   | Towner SDX / DLX/ STD                                        | 1996  | Gasolina | 40       |
| 4019951  | Towner   | Towner SDX / DLX/ STD                                        | 1995  | Gasolina | 40       |
| 4019941  | Towner   | Towner SDX / DLX/ STD                                        | 1994  | Gasolina | 40       |
| 4019931  | Towner   | Towner SDX / DLX/ STD                                        | 1993  | Gasolina | 40       |
| 4119991  | Towner   | Towner Super Luxo                                            | 1999  | Gasolina | 41       |
| 4119981  | Towner   | Towner Super Luxo                                            | 1998  | Gasolina | 41       |
| 4119971  | Towner   | Towner Super Luxo                                            | 1997  | Gasolina | 41       |
| 4219981  | Towner   | Towner Truck                                                 | 1998  | Gasolina | 42       |
| 4219971  | Towner   | Towner Truck                                                 | 1997  | Gasolina | 42       |
| 4219961  | Towner   | Towner Truck                                                 | 1996  | Gasolina | 42       |
| 4219951  | Towner   | Towner Truck                                                 | 1995  | Gasolina | 42       |
| 4219941  | Towner   | Towner Truck                                                 | 1994  | Gasolina | 42       |
| 4219931  | Towner   | Towner Truck                                                 | 1993  | Gasolina | 42       |
+----------+----------+---------------------------- ASIA MOTORS ---------------------+-------+----------+----------+



+-----------+---------+-------------------------------- AUDI ------------------------+-------+----------+----------+
| Id        | Family  | Name                                                         | Year  | Fuel     | Model Id |
+-----------+---------+--------------------------------------------------------------+-------+----------+----------+
| 4319951   | 100     | 100 2.8 V6                                                   | 1995  | Gasolina | 43       |
| 4319941   | 100     | 100 2.8 V6                                                   | 1994  | Gasolina | 43       |
| 4319931   | 100     | 100 2.8 V6                                                   | 1993  | Gasolina | 43       |
| 4419951   | 100     | 100 2.8 V6 Avant                                             | 1995  | Gasolina | 44       |
| 4419941   | 100     | 100 2.8 V6 Avant                                             | 1994  | Gasolina | 44       |
| 4519951   | 100     | 100 S-4 2.2 Avant Turbo                                      | 1995  | Gasolina | 45       |
| 4519941   | 100     | 100 S-4 2.2 Avant Turbo                                      | 1994  | Gasolina | 45       |
| 4619951   | 80      | 80 2.0                                                       | 1995  | Gasolina | 46       |
| 4619941   | 80      | 80 2.0                                                       | 1994  | Gasolina | 46       |
| 4719951   | 80      | 80 2.0 Avant                                                 | 1995  | Gasolina | 47       |
| 4719941   | 80      | 80 2.0 Avant                                                 | 1994  | Gasolina | 47       |
| 4819951   | 80      | 80 2.6/ 2.8                                                  | 1995  | Gasolina | 48       |
| 4819941   | 80      | 80 2.6/ 2.8                                                  | 1994  | Gasolina | 48       |
| 4919961   | 80      | 80 2.6/2.8 Avant                                             | 1996  | Gasolina | 49       |
| 4919951   | 80      | 80 2.6/2.8 Avant                                             | 1995  | Gasolina | 49       |
| 4919941   | 80      | 80 2.6/2.8 Avant                                             | 1994  | Gasolina | 49       |
| 5019991   | 80      | 80 2.8 Cabriolet                                             | 1999  | Gasolina | 50       |
| 5019981   | 80      | 80 2.8 Cabriolet                                             | 1998  | Gasolina | 50       |
| 5019971   | 80      | 80 2.8 Cabriolet                                             | 1997  | Gasolina | 50       |
| 5019961   | 80      | 80 2.8 Cabriolet                                             | 1996  | Gasolina | 50       |
| 5019951   | 80      | 80 2.8 Cabriolet                                             | 1995  | Gasolina | 50       |
| 5019941   | 80      | 80 2.8 Cabriolet                                             | 1994  | Gasolina | 50       |
| 5119951   | 80      | 80 S2 Avant                                                  | 1995  | Gasolina | 51       |
| 5119941   | 80      | 80 S2 Avant                                                  | 1994  | Gasolina | 51       |
| 549620141 | A1      | A1 1.4 TFSI 122cv S-tronic 3p                                | 2014  | Gasolina | 5496     |
| 549620131 | A1      | A1 1.4 TFSI 122cv S-tronic 3p                                | 2013  | Gasolina | 5496     |
| 549620121 | A1      | A1 1.4 TFSI 122cv S-tronic 3p                                | 2012  | Gasolina | 5496     |
| 549620111 | A1      | A1 1.4 TFSI 122cv S-tronic 3p                                | 2011  | Gasolina | 5496     |
| 629320131 | A1      | A1 2.0 TFSI Quattro 256cv 3p                                 | 2013  | Gasolina | 6293     |
| 614320141 | A1      | A1 Sport 1.4 TFSI 185cv 3p S-tronic                          | 2014  | Gasolina | 6143     |
| 614320131 | A1      | A1 Sport 1.4 TFSI 185cv 3p S-tronic                          | 2013  | Gasolina | 6143     |
